docId,filename,primary topics, primary appears, secondary topics, secondary appears, tertiary topics, tertiary appears, quaternary topics, quaternary appears
1,null-source,1,0.571,15,0.071,9,0.071,7,0.071
2,null-source,3,0.365,1,0.180,5,0.102,4,0.090
3,null-source,2,0.147,10,0.118,7,0.118,4,0.118
4,null-source,14,0.292,12,0.250,8,0.250,1,0.083
5,null-source,5,0.190,3,0.159,12,0.079,10,0.079
6,null-source,5,0.313,1,0.142,12,0.131,13,0.068
7,null-source,3,0.375,11,0.150,10,0.100,14,0.0757
8,null-source,5,0.205,12,0.161,3,0.143,14,0.107
9,null-source,6,0.235,4,0.200,3,0.124,1,0.112
10,null-source,5,0.325,9,0.217,7,0.120,4,0.084
11,null-source,12,0.213,14,0.117,8,0.106,15,0.074
12,null-source,4,0.162,14,0.138,7,0.112,2,0.112
13,null-source,3,0.145,12,0.127,5,0.127,8,0.091
14,null-source,5,0.296,3,0.173,13,0.099,1,0.099
15,null-source,14,0.316,7,0.263,5,0.105,4,0.105
16,null-source,5,0.286,8,0.143,1,0.119,13,0.095
17,null-source,2,0.200,15,0.150,7,0.125,1,0.100
18,null-source,12,0.250,14,0.156,2,0.156,8,0.125
19,null-source,5,0.228,3,0.218,6,0.117,1,0.111
20,null-source,14,0.167,7,0.167,5,0.167,15,0.111
21,null-source,12,0.207,6,0.129,8,0.112,13,0.099
22,null-source,4,0.200,2,0.200,8,0.133,3,0.133
23,null-source,1,0.188,5,0.167,6,0.104,14,0.083
24,null-source,14,0.151,12,0.151,9,0.110,8,0.096
25,null-source,5,0.226,14,0.113,13,0.113,1,0.113
26,null-source,12,0.173,5,0.133,8,0.107,1,0.107
27,null-source,3,0.323,1,0.194,5,0.129,10,0.097
28,null-source,3,0.394,1,0.212,5,0.182,4,0.061
29,null-source,8,0.294,9,0.165,12,0.147,1,0.101
30,null-source,12,0.174,8,0.174,5,0.174,11,0.130
31,null-source,3,0.328,15,0.246,4,0.131,,
32,null-source,5,0.212,1,0.158,14,0.144,13,0.089
33,null-source,5,0.256,1,0.186,10,0.116,4,0.093
34,null-source,5,0.256,3,0.256,7,0.163,10,0.093
35,null-source,5,0.182,14,0.136,9,0.136,2,0.136
36,null-source,5,0.263,8,0.105,4,0.105,3,0.105
37,null-source,3,0.340,12,0.160,8,0.140,1,0.100
38,null-source,12,0.467,8,0.200,13,0.133,14,0.067
39,null-source,12,0.277,8,0.157,11,0.108,13,0.084
40,null-source,1,0.209,12,0.171,9,0.109,5,0.093
41,null-source,15,0.232,9,0.137,5,0.117,4,0.089
42,null-source,12,0.400,8,0.200,14,0.067,10,0.067
43,null-source,5,0.417,4,0.125,12,0.083,11,0.083
44,null-source,6,0.156,8,0.133,10,0.122,4,0.117
45,null-source,3,0.156,15,0.140,1,0.117,4,0.101
46,null-source,14,0.232,13,0.174,11,0.130,5,0.087
47,null-source,3,0.322,10,0.127,6,0.119,15,0.102
48,null-source,6,0.170,14,0.136,4,0.114,3,0.102
49,null-source,13,0.231,14,0.167,5,0.128,11,0.090
50,null-source,5,0.422,3,0.200,14,0.111,12,0.089
51,null-source,5,0.217,3,0.217,6,0.087,2,0.087
52,null-source,12,0.229,5,0.171,8,0.143,14,0.114
53,null-source,14,0.152,12,0.123,1,0.123,2,0.094
54,null-source,5,0.438,14,0.125,1,0.125,15,0.063
55,null-source,12,0.267,14,0.200,8,0.200,2,0.133
56,null-source,3,0.140,12,0.123,7,0.105,5,0.088
57,null-source,15,0.143,11,0.143,9,0.143,4,0.143
58,null-source,10,0.235,15,0.118,7,0.118,14,0.088
59,null-source,13,0.154,8,0.119,3,0.112,12,0.110
60,null-source,2,0.294,12,0.176,13,0.118,10,0.118
61,null-source,3,0.283,4,0.133,12,0.117,11,0.100
62,null-source,12,0.260,14,0.220,3,0.107,2,0.087
63,null-source,14,0.333,15,0.133,10,0.133,13,0.067
64,null-source,14,0.127,5,0.109,1,0.109,6,0.091
65,null-source,15,0.243,11,0.136,13,0.087,2,0.087
66,null-source,8,0.215,3,0.209,12,0.165,4,0.070
67,null-source,5,0.196,1,0.141,3,0.135,13,0.129
68,null-source,10,0.160,15,0.129,5,0.117,7,0.102
69,null-source,14,0.500,4,0.500,,,,
70,null-source,4,0.216,12,0.135,9,0.108,5,0.095
71,null-source,9,0.129,15,0.113,10,0.113,7,0.097
72,null-source,1,0.200,12,0.175,10,0.125,4,0.100
73,null-source,5,0.143,1,0.143,10,0.119,14,0.095
74,null-source,1,0.198,15,0.110,8,0.110,9,0.099
75,null-source,5,0.283,12,0.151,13,0.113,3,0.094
76,null-source,1,0.221,9,0.132,8,0.103,4,0.103
77,null-source,8,0.255,1,0.124,4,0.117,14,0.109
78,null-source,14,0.239,12,0.230,5,0.080,2,0.080
79,null-source,14,0.289,2,0.132,8,0.079,3,0.079
80,null-source,1,0.242,15,0.225,6,0.096,5,0.088
81,null-source,8,0.333,12,0.197,5,0.106,10,0.076
82,null-source,8,0.375,14,0.142,12,0.108,6,0.083
83,null-source,4,0.159,14,0.136,6,0.136,13,0.114
84,null-source,4,0.208,7,0.167,5,0.125,13,0.104
85,null-source,15,0.169,6,0.132,5,0.116,1,0.106
86,null-source,15,0.200,14,0.200,13,0.150,10,0.150
87,null-source,10,0.339,6,0.237,3,0.135,13,0.082
88,null-source,4,0.159,11,0.130,14,0.101,12,0.101
89,null-source,3,0.276,12,0.184,4,0.143,8,0.102
90,null-source,8,0.361,12,0.139,14,0.083,4,0.083
91,null-source,8,0.464,2,0.145,12,0.123,4,0.087
92,null-source,4,0.333,10,0.167,7,0.167,3,0.167
93,null-source,14,0.263,12,0.211,4,0.105,1,0.105
94,null-source,5,0.296,9,0.148,10,0.111,13,0.074
95,null-source,13,0.186,14,0.131,7,0.114,3,0.076
96,null-source,8,0.168,9,0.104,4,0.104,1,0.090
97,null-source,8,0.241,4,0.128,10,0.105,12,0.074
98,null-source,4,0.243,3,0.122,8,0.108,6,0.102
99,null-source,4,0.344,10,0.221,3,0.104,6,0.065
100,null-source,8,0.450,12,0.111,13,0.074,9,0.055
101,null-source,12,0.320,8,0.199,14,0.165,11,0.056
102,null-source,8,0.485,12,0.182,14,0.085,,
103,null-source,8,0.547,12,0.102,2,0.055,,
104,null-source,12,0.303,8,0.194,5,0.074,4,0.074
105,null-source,14,0.140,8,0.124,7,0.102,4,0.085
106,null-source,8,0.354,12,0.096,5,0.086,4,0.086
107,null-source,8,0.529,12,0.123,4,0.082,14,0.072
108,null-source,8,0.371,12,0.174,11,0.094,13,0.081
109,null-source,8,0.355,12,0.160,13,0.084,6,0.082
110,null-source,13,0.487,6,0.179,7,0.056,1,0.055
111,null-source,5,0.420,2,0.125,14,0.098,1,0.089
112,null-source,8,0.400,4,0.097,9,0.079,10,0.061
113,null-source,8,0.356,4,0.143,9,0.089,13,0.060
114,null-source,1,0.361,5,0.235,13,0.080,7,0.062
115,null-source,2,0.175,4,0.122,7,0.102,5,0.096
116,null-source,8,0.177,2,0.174,12,0.151,14,0.088
117,null-source,3,0.253,8,0.152,10,0.131,6,0.101
118,null-source,10,0.150,7,0.133,15,0.129,6,0.129
119,null-source,3,0.349,1,0.149,14,0.079,4,0.066
120,null-source,4,0.351,15,0.103,1,0.096,6,0.093
121,null-source,3,0.292,8,0.165,12,0.092,6,0.073
122,null-source,4,0.392,9,0.230,10,0.131,6,0.072
123,null-source,15,0.252,5,0.196,1,0.159,6,0.104
124,null-source,2,0.731,,,,,,
125,null-source,14,0.171,8,0.165,2,0.147,6,0.093
