topicId,words..
1,country great year good give part day population small work
2,ditto june ship john captain passengers william man james passage
3,states united british american act britain trade america vessels congress
4,canada government kingdom upper people children war majesty inform province
5,settlement america dollars people market english price trade make produce
6,state time great present part considerable information public view form
7,land south colony emigration number persons wales emigrants years government
8,general men indians st company inform north americans fort quebec
9,mr house committee meeting place lord time esq public hear
10,made bill present subject court case law authority measures object
11,king chief people natives crew island man lives vessel chiefs
12,town letter received days extract dated number enemy left morning
13,country miles river governor full large found york high made
14,board kingdom arrived vessel ships accounts sydney india port bay
15,means society purpose labour power general system parts character men
