docId,filename,top topics, amount it appears, primary topics, primary appears, tertiary topics, tertiary appears, quaternary topics, quaternary appears, , , , , , , , , , , , , , , ,
1,null-source,15,0.429,11,0.143,1,0.143,13,0.071
2,null-source,6,0.176,4,0.147,8,0.118,7,0.118
3,null-source,7,0.167,4,0.167,2,0.125,15,0.083
4,null-source,6,0.222,11,0.190,3,0.111,2,0.111
5,null-source,11,0.176,8,0.159,2,0.108,4,0.085
6,null-source,13,0.200,2,0.175,6,0.125,1,0.125
7,null-source,4,0.223,1,0.170,7,0.125,15,0.089
8,null-source,12,0.212,1,0.153,7,0.147,11,0.106
9,null-source,10,0.337,4,0.169,3,0.133,15,0.096
10,null-source,4,0.277,7,0.106,9,0.096,10,0.085
11,null-source,3,0.200,11,0.150,1,0.150,8,0.100
12,null-source,15,0.255,1,0.236,12,0.091,9,0.073
13,null-source,13,0.346,2,0.123,8,0.074,3,0.074
14,null-source,10,0.316,7,0.263,11,0.158,6,0.105
15,null-source,2,0.238,3,0.190,11,0.167,8,0.119
16,null-source,3,0.125,2,0.125,15,0.100,11,0.100
17,null-source,7,0.188,4,0.125,3,0.125,15,0.094
18,null-source,13,0.451,2,0.090,6,0.082,1,0.058
19,null-source,7,0.333,1,0.222,15,0.167,12,0.056
20,null-source,8,0.181,12,0.125,7,0.125,9,0.116
21,null-source,11,0.400,9,0.200,7,0.133,5,0.133
22,null-source,11,0.271,1,0.229,13,0.146,2,0.125
23,null-source,4,0.178,13,0.164,6,0.110,14,0.096
24,null-source,7,0.339,2,0.145,4,0.113,8,0.097
25,null-source,11,0.200,15,0.173,3,0.133,4,0.120
26,null-source,3,0.226,2,0.226,13,0.129,11,0.129
27,null-source,2,0.273,3,0.212,11,0.152,7,0.091
28,null-source,4,0.303,14,0.183,9,0.128,7,0.092
29,null-source,14,0.261,15,0.130,4,0.130,10,0.087
30,null-source,2,0.361,3,0.172,10,0.090,6,0.066
31,null-source,7,0.123,12,0.110,3,0.110,11,0.096
32,null-source,2,0.279,3,0.233,4,0.140,,
33,null-source,13,0.326,6,0.116,1,0.116,15,0.093
34,null-source,1,0.182,6,0.136,3,0.136,15,0.091
35,null-source,2,0.237,7,0.132,6,0.132,14,0.079
36,null-source,11,0.300,3,0.160,1,0.100,2,0.080
37,null-source,7,0.333,15,0.267,4,0.133,11,0.067
38,null-source,9,0.181,4,0.157,15,0.145,10,0.108
39,null-source,15,0.333,3,0.132,13,0.078,10,0.078
40,null-source,10,0.289,15,0.279,7,0.149,12,0.051
41,null-source,7,0.267,4,0.200,3,0.200,11,0.133
42,null-source,13,0.208,7,0.167,3,0.167,11,0.125
43,null-source,11,0.122,5,0.111,3,0.111,8,0.106
44,null-source,13,0.140,12,0.128,1,0.128,7,0.095
45,null-source,11,0.116,7,0.101,6,0.101,2,0.101
46,null-source,2,0.246,6,0.127,5,0.110,12,0.102
47,null-source,4,0.182,11,0.102,6,0.102,5,0.102
48,null-source,11,0.167,3,0.167,14,0.128,7,0.090
49,null-source,2,0.333,13,0.267,11,0.067,4,0.067
50,null-source,7,0.174,13,0.130,3,0.130,12,0.087
51,null-source,3,0.229,11,0.143,4,0.143,9,0.114
52,null-source,7,0.158,4,0.152,8,0.105,3,0.088
53,null-source,10,0.188,2,0.188,5,0.125,3,0.125
54,null-source,4,0.267,15,0.133,13,0.133,3,0.133
55,null-source,6,0.140,13,0.088,9,0.088,4,0.088
56,null-source,15,0.286,11,0.190,13,0.095,2,0.095
57,null-source,11,0.206,15,0.118,2,0.118,1,0.118
58,null-source,8,0.381,12,0.174,2,0.062,4,0.051
59,null-source,9,0.235,7,0.176,4,0.176,15,0.118
60,null-source,12,0.167,7,0.100,11,0.083,5,0.083
61,null-source,8,0.320,4,0.140,12,0.080,1,0.073
62,null-source,4,0.267,3,0.267,10,0.200,1,0.133
63,null-source,1,0.218,3,0.145,15,0.109,8,0.091
64,null-source,10,0.233,15,0.097,4,0.087,8,0.078
65,null-source,6,0.190,12,0.120,14,0.108,7,0.108
66,null-source,13,0.282,9,0.123,1,0.117,6,0.110
67,null-source,3,0.372,11,0.120,4,0.108,12,0.086
68,null-source,11,0.500,3,0.500,,,,
69,null-source,10,0.162,15,0.149,9,0.149,12,0.081
70,null-source,15,0.210,2,0.169,6,0.105,3,0.097
71,null-source,15,0.375,3,0.100,1,0.100,9,0.075
72,null-source,15,0.381,3,0.143,9,0.095,1,0.071
73,null-source,3,0.143,12,0.121,2,0.121,8,0.099
74,null-source,1,0.245,13,0.132,2,0.113,6,0.094
75,null-source,11,0.294,2,0.162,3,0.118,10,0.074
76,null-source,4,0.204,9,0.139,8,0.102,6,0.088
