topicId,rank,docId,filename
1,1,36,null-source
1,2,19,null-source
1,3,16,null-source
1,4,58,null-source
1,5,27,null-source
1,6,25,null-source
1,7,17,null-source
1,8,9,null-source
1,9,28,null-source
1,10,13,null-source
1,11,29,null-source
1,12,12,null-source
1,13,59,null-source
1,14,7,null-source
1,15,5,null-source
1,16,24,null-source
1,17,26,null-source
1,18,6,null-source
1,19,10,null-source
1,20,8,null-source
1,21,2,null-source
1,22,45,null-source
1,23,34,null-source
1,24,22,null-source
1,25,50,null-source
1,26,40,null-source
1,27,32,null-source
1,28,30,null-source
1,29,56,null-source
1,30,33,null-source
1,31,21,null-source
1,32,3,null-source
1,33,57,null-source
1,34,49,null-source
1,35,39,null-source
1,36,51,null-source
1,37,38,null-source
1,38,35,null-source
1,39,18,null-source
1,40,52,null-source
1,41,46,null-source
1,42,42,null-source
1,43,4,null-source
1,44,47,null-source
1,45,41,null-source
1,46,23,null-source
1,47,15,null-source
1,48,14,null-source
1,49,11,null-source
1,50,53,null-source
1,51,48,null-source
1,52,20,null-source
1,53,60,null-source
1,54,55,null-source
1,55,54,null-source
1,56,37,null-source
1,57,31,null-source
1,58,44,null-source
1,59,43,null-source
1,60,1,null-source
2,1,6,null-source
2,2,21,null-source
2,3,56,null-source
2,4,15,null-source
2,5,30,null-source
2,6,8,null-source
2,7,52,null-source
2,8,4,null-source
2,9,40,null-source
2,10,2,null-source
2,11,58,null-source
2,12,45,null-source
2,13,12,null-source
2,14,5,null-source
2,15,25,null-source
2,16,60,null-source
2,17,24,null-source
2,18,7,null-source
2,19,53,null-source
2,20,22,null-source
2,21,31,null-source
2,22,28,null-source
2,23,29,null-source
2,24,51,null-source
2,25,14,null-source
2,26,3,null-source
2,27,16,null-source
2,28,42,null-source
2,29,26,null-source
2,30,10,null-source
2,31,19,null-source
2,32,17,null-source
2,33,49,null-source
2,34,18,null-source
2,35,11,null-source
2,36,59,null-source
2,37,27,null-source
2,38,13,null-source
2,39,41,null-source
2,40,20,null-source
2,41,48,null-source
2,42,46,null-source
2,43,44,null-source
2,44,38,null-source
2,45,37,null-source
2,46,57,null-source
2,47,50,null-source
2,48,47,null-source
2,49,43,null-source
2,50,39,null-source
2,51,35,null-source
2,52,33,null-source
2,53,32,null-source
2,54,23,null-source
2,55,9,null-source
2,56,1,null-source
2,57,55,null-source
2,58,54,null-source
2,59,36,null-source
2,60,34,null-source
3,1,60,null-source
3,2,31,null-source
3,3,6,null-source
3,4,58,null-source
3,5,8,null-source
3,6,19,null-source
3,7,56,null-source
3,8,28,null-source
3,9,5,null-source
3,10,40,null-source
3,11,25,null-source
3,12,3,null-source
3,13,4,null-source
3,14,2,null-source
3,15,49,null-source
3,16,27,null-source
3,17,51,null-source
3,18,30,null-source
3,19,26,null-source
3,20,42,null-source
3,21,14,null-source
3,22,10,null-source
3,23,59,null-source
3,24,13,null-source
3,25,46,null-source
3,26,29,null-source
