docId,filename,primary topics, primary appears, secondary topics, secondary appears, tertiary topics, tertiary appears, quaternary topics, quaternary appears
1,null-source,12,0.357,4,0.214,14,0.143,13,0.143
2,null-source,14,0.305,15,0.236,9,0.093,12,0.066
3,null-source,12,0.432,10,0.135,9,0.108,11,0.081
4,null-source,10,0.208,13,0.125,4,0.125,1,0.125
5,null-source,3,0.544,7,0.103,1,0.059,,
6,null-source,10,0.265,15,0.102,7,0.102,12,0.082
7,null-source,14,0.174,4,0.152,8,0.098,2,0.098
8,null-source,14,0.182,11,0.136,8,0.136,7,0.136
9,null-source,7,0.153,5,0.136,14,0.119,8,0.119
10,null-source,14,0.125,7,0.125,13,0.094,12,0.094
11,null-source,15,0.138,5,0.138,2,0.138,7,0.103
12,null-source,7,0.151,14,0.147,4,0.143,11,0.109
13,null-source,3,0.608,2,0.094,12,0.066,7,0.055
14,null-source,3,0.259,4,0.148,1,0.111,13,0.074
15,null-source,3,0.281,12,0.188,15,0.156,9,0.063
16,null-source,7,0.313,14,0.125,13,0.125,6,0.125
17,null-source,8,0.208,7,0.208,9,0.125,13,0.083
18,null-source,3,0.662,,,,,,
19,null-source,1,0.429,7,0.173,8,0.098,3,0.090
20,null-source,4,0.284,1,0.217,8,0.072,11,0.070
21,null-source,8,0.232,7,0.232,14,0.101,15,0.072
22,null-source,7,0.300,8,0.233,10,0.100,1,0.100
23,null-source,11,0.290,7,0.125,1,0.118,8,0.088
24,null-source,11,0.278,8,0.167,3,0.167,9,0.111
25,null-source,6,0.143,10,0.107,9,0.107,7,0.107
26,null-source,15,0.267,7,0.200,8,0.133,12,0.067
27,null-source,5,0.412,9,0.118,7,0.118,6,0.118
28,null-source,9,0.374,7,0.177,5,0.091,1,0.061
29,null-source,5,0.484,15,0.116,9,0.082,12,0.066
30,null-source,12,0.207,13,0.138,15,0.103,9,0.103
31,null-source,12,0.194,7,0.167,11,0.139,6,0.111
32,null-source,1,0.340,4,0.200,12,0.100,8,0.100
33,null-source,8,0.273,1,0.182,4,0.091,2,0.091
34,null-source,7,0.278,12,0.111,9,0.111,6,0.111
35,null-source,8,0.255,15,0.127,11,0.109,4,0.109
36,null-source,8,0.270,11,0.238,14,0.127,4,0.079
37,null-source,15,0.190,14,0.190,7,0.190,12,0.095
38,null-source,12,0.360,7,0.130,3,0.090,15,0.060
39,null-source,8,0.205,11,0.143,4,0.143,15,0.134
40,null-source,11,0.266,8,0.219,14,0.172,1,0.078
41,null-source,7,0.273,15,0.136,9,0.136,8,0.136
42,null-source,8,0.476,1,0.082,14,0.075,10,0.068
43,null-source,10,0.313,2,0.180,4,0.097,6,0.075
44,null-source,14,0.117,10,0.117,13,0.100,11,0.083
45,null-source,8,0.252,11,0.138,7,0.089,14,0.085
46,null-source,8,0.227,5,0.162,15,0.131,14,0.086
47,null-source,3,0.654,4,0.085,14,0.066,,
48,null-source,8,0.219,5,0.188,7,0.156,12,0.125
49,null-source,8,0.194,7,0.194,5,0.161,15,0.129
50,null-source,8,0.244,11,0.171,7,0.171,10,0.146
51,null-source,12,0.435,7,0.121,3,0.081,8,0.067
52,null-source,12,0.313,4,0.188,15,0.094,9,0.094
53,null-source,7,0.375,5,0.292,15,0.083,12,0.083
54,null-source,8,0.235,2,0.176,15,0.118,12,0.118
55,null-source,8,0.235,11,0.160,7,0.160,1,0.148
56,null-source,12,0.367,13,0.083,7,0.083,5,0.083
57,null-source,1,0.372,4,0.235,2,0.093,9,0.064
58,null-source,1,0.228,15,0.123,2,0.123,8,0.105
59,null-source,15,0.208,4,0.132,7,0.094,2,0.094
60,null-source,6,0.688,15,0.082,,,,
61,null-source,7,0.214,4,0.143,10,0.107,9,0.107
62,null-source,2,0.250,7,0.200,10,0.100,5,0.100
63,null-source,5,0.244,11,0.178,9,0.089,12,0.067
64,null-source,6,0.120,13,0.109,10,0.109,9,0.098
65,null-source,11,0.208,8,0.167,14,0.125,12,0.125
66,null-source,15,0.140,3,0.140,1,0.140,11,0.116
67,null-source,14,0.162,11,0.162,7,0.162,8,0.135
68,null-source,7,0.155,1,0.138,2,0.086,15,0.069
69,null-source,1,0.195,11,0.171,8,0.122,2,0.122
70,null-source,4,0.134,15,0.119,5,0.119,2,0.119
71,null-source,11,0.183,12,0.150,4,0.100,1,0.100
72,null-source,13,0.821,,,,,,
73,null-source,12,0.191,8,0.176,11,0.147,7,0.074
74,null-source,6,0.268,7,0.122,14,0.098,5,0.098
75,null-source,8,0.137,15,0.127,13,0.098,11,0.098
