topicId,words..
1,emigrants number persons british states emigration time britain greenock return
2,public canada report expense present edinburgh large general place upwards
3,land wool market diemen van dieman obtained bales week advance
4,year years great scotland part united quebec appears numbers class
5,mr bill board hear stated committee hon give member plan
6,mr commission time presbytery dr church motion small assembly case
7,south colony wales colonies australia place means meeting australian convicts
8,emigration ship females young sailed van free sydney information servants
9,country land england labour system resolution capital great present classes
10,esq understand evening long family work passengers children james john
11,made leith passage vessel purpose paid agricultural captain character settlers
12,australia miles st king port north commissioners holland george making
13,wild woodland cheer home heart ago make ll chorus flowers
14,state good london committee majesty tuesday private thursday high days
15,government house received subject day people order intended considerable court
